[main] 07:03:28,383 INFO [org.hornetq.integration.bootstrap.HornetQBootstrapServer]  Starting HornetQ Server
[main] 07:03:29,779 WARNING [org.hornetq.core.deployers.impl.FileConfigurationParser]  AIO wasn't located on this platform, it will fall back to using pure Java NIO. If your platform is Linux, install LibAIO to enable the AIO journal
[main] 07:03:29,837 INFO [org.hornetq.core.server.impl.HornetQServerImpl]  live server is starting..
[main] 07:03:29,892 INFO [org.hornetq.core.persistence.impl.journal.JournalStorageManager]  Using NIO Journal
[main] 07:03:29,912 WARNING [org.hornetq.core.server.impl.HornetQServerImpl]  Security risk! It has been detected that the cluster admin user and password have not been changed from the installation default. Please see the HornetQ user guide, cluster chapter, for instructions on how to do this.
[main] 07:03:31,197 INFO [org.hornetq.core.remoting.impl.netty.NettyAcceptor]  Started Netty Acceptor version 3.2.0.BETA1-r2215 localhost:61614 for STOMP_WS protocol
[main] 07:03:31,200 INFO [org.hornetq.core.remoting.impl.netty.NettyAcceptor]  Started Netty Acceptor version 3.2.0.BETA1-r2215 localhost:5445 for CORE protocol
[main] 07:03:31,203 INFO [org.hornetq.core.server.impl.HornetQServerImpl]  HornetQ Server version 2.1.0.BETA3 (Hungry Hornet, 117) started
[Old I/O server worker (parentId: 2121904503, channelId: 939316226, null => localhost/127.0.0.1:61614)] 14:11:19,033 WARNING [org.hornetq.core.protocol.stomp.StompProtocolManager]  Connection closed org.hornetq.core.protocol.stomp.StompConnection@642726b2
[Old I/O server worker (parentId: 2121904503, channelId: 1746565407, null => localhost/127.0.0.1:61614)] 14:11:49,344 WARNING [org.hornetq.core.protocol.stomp.StompProtocolManager]  Connection closed org.hornetq.core.protocol.stomp.StompConnection@6c6c2a78
[Old I/O server worker (parentId: 2121904503, channelId: 1106072736, null => localhost/127.0.0.1:61614)] 14:11:50,823 WARNING [org.hornetq.core.protocol.stomp.StompProtocolManager]  Connection closed org.hornetq.core.protocol.stomp.StompConnection@77c30993
[Old I/O server worker (parentId: 2121904503, channelId: 1632961370, null => localhost/127.0.0.1:61614)] 14:11:51,408 WARNING [org.hornetq.core.protocol.stomp.StompProtocolManager]  Connection closed org.hornetq.core.protocol.stomp.StompConnection@72a60191
[Old I/O server worker (parentId: 2121904503, channelId: 218940734, null => localhost/127.0.0.1:61614)] 14:11:52,222 WARNING [org.hornetq.core.protocol.stomp.StompProtocolManager]  Connection closed org.hornetq.core.protocol.stomp.StompConnection@14d55de
[Thread-3 (group:HornetQ-server-threads138583065-324813035)] 22:18:49,320 WARNING [org.hornetq.core.protocol.stomp.StompProtocolManager]  Connection closed org.hornetq.core.protocol.stomp.StompConnection@4f5264db
